video_id,title,contract_id,category,category_sub1_name,category_sub2_name,season,phase,series_name,updated_at
xAouK3J8pvs,ìH?u du? m?t tr?iî Vi?t Nam hÈ l? nh?ng c?nh phim l„ng m?n nh?t | VTC14,177,News,TV,,,,,9/21/2018 3:20
-mXCd-lNWGM,ThÍm nhi?u c?u quan ch?c v??ng lao l˝ vÏ liÍn quan V? ìnhÙmî | VTC14,177,News,TV,,,,,9/21/2018 3:20
FQ62ciQW0DA,"Ch? chÛ l?n nh?t S‡i GÚn: B?t c?p vi?c gi?t m?, mua b·n | VTC14",177,News,TV,,,,,9/21/2018 3:20
YR3CqNrJpwc,Thu?c kh?n c?p c?u m?ng ng??i s?c ma t˙y | VTC14,177,News,TV,,,,,9/21/2018 3:20
Ycjtuji1dHA,B?t bu?c kÍ khai gi· 3 th?c ph?m ch?c n?ng cho tr? em | VTC14,177,News,TV,,,,,9/21/2018 3:20
PmxL7ng6Q_8,?i?m m?t nh?ng d?ng ma t˙y m?i ?ang mÍ ho?c ìd‚n ch?iî Vi?t | VTC14,177,News,TV,,,,,9/21/2018 3:20
6-AEJODIyys,D?ch tay ch‚n mi?ng gia t?ng ? Nam Trung b? | VTC14,177,News,TV,,,,,9/21/2018 3:20
mt6ja930bag,HÏnh h‡i ?Ù th? thÙng minh ? TP HCM | VTC14,177,News,TV,,,,,9/21/2018 3:20
1PFs57ip0Xw,Ng? d‚n v˘ng l? ??u ngu?n thu nh?p kh· t? ?·nh b?t c· m˘a l? | VTC14,177,News,TV,,,,,9/21/2018 3:20
dLUsj-Cyswk,"B? ch? trÌch vÏ ?i th?m ng??i s?c ma t˙y, PhÛ Ch? t?ch H‡ N?i nÛi gÏ? | VTC14",177,News,TV,,,,,9/21/2018 3:20
cJtvoxRQ8jY,"Nh?ng c?nh phim l„ng m?n nh?t trong ""H?u du? m?t tr?i"" phiÍn b?n Vi?t | VTC14",177,News,TV,,,,,9/21/2018 3:20
L-phkbLxHQE,ìHi?p s?î chuyÍn c?u ng??i s?c ma t˙y ? ??t C?ng | VTC14,177,Show,Talk show,,,,,9/21/2018 3:20
YkLfTo7s2VU,"T?t trung thu cho h?c sinh ?an Ph??ng, H‡ N?i | VTC14",177,News,TV,,,,,9/21/2018 3:20
-GhgM4A-WwM,"?n chay sai c·ch, ng??i ph? n? cÛ 55 viÍn s?i m?t | VTC14",177,News,TV,,,,,9/21/2018 3:20
szxKiWCFneQ,B?n tin GÛc nhÏn kh·n gi? ng‡y 19/09/2018 | VTC14,177,News,TV,,,,,9/21/2018 3:20
UBURd1zSQHA, [Tr?c ti?p] B?n tin Nh?t k˝ cu?c s?ng ng‡y 19/09/2018 I VTC14,177,News,TV,,,,,9/21/2018 3:20
loWH3kbWLpg,Th?i ti?t c·c th‡nh ph? l?n 20/09/2018: TP HCM v‡ C?n Th? m?a n?ng ?an xen | VTC14,177,News,TV,,,,,9/21/2018 3:20
n0Zv_t6ku3I,Th?i ti?t 6h 20/09/2018: B?c v‡ Trung b? h?ng n?ng | VTC14,177,News,TV,,,,,9/21/2018 3:20
aQRDJACge3U,Th?i ti?t cu?i ng‡y 19/09/2018: ?Ím nay mi?n B?c v?n m?a nh?ng gi?m d?n | VTC14,177,News,TV,,,,,9/21/2018 3:20
uEm7JB7mkoc,Nh?ng xÛm tr? l?p x?p ? H‡ N?i | VTC14,177,News,TV,,,,,9/21/2018 3:20
8847gXGphr8,Th?i ti?t t?ng h?p 19/09/2018: Gi?m m?a trÍn c? n??c | VTC14,177,News,TV,,,,,9/21/2018 3:20
k7-H2MyliKU,B?n tin Cu?c s?ng 24h ng‡y 20/09/2018 | VTC14,177,News,TV,,,,,9/21/2018 3:20
lI-oq8daE8o,Th?i ti?t nÙng v? 19/09/2018: T? v?n h?u Ìch cho b‡ con tr?ng s?u riÍng | VTC14,177,News,TV,,,,,9/21/2018 3:20
BHIp9bAwMFQ,"Th?i ti?t bi?n 19/09/2018: Bi?n ""Ím"" d?n ??u | VTC14",177,News,TV,,,,,9/21/2018 3:20
