date,channel_id,video_id,claimed_status,uploader_type,country_code,estimated_partner_revenue,estimated_partner_ad_revenue,estimated_partner_ad_auction_revenue,estimated_partner_ad_reserved_revenue,estimated_youtube_ad_revenue,estimated_monetized_playbacks,estimated_playback_based_cpm,ad_impressions,estimated_cpm,estimated_partner_red_revenue,estimated_partner_transaction_revenue
20190111,UCkBngOIJHGZSIQsrJ-ujIuQ,9iK4Kjqytks,claimed,self,GB,0.015,0.015,0.015,0,0.027,3,8.935,3,8.935,0,0
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,zUakwYKVBGY,claimed,self,MY,0,0,0,0,0,1,0.08,1,0.08,0,0
20190111,UCb2iEG1CZVwGCC1VQaRo7ZQ,Rzikp7z1aME,claimed,self,IN,0.002,0.002,0.002,0,0.003,4,0.797,4,0.797,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,BPP-8hzh7mU,claimed,self,GB,0.013,0.013,0.013,0,0.024,13,1.833,15,1.589,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,XkdYV5a1Lc8,claimed,self,PH,0.002,0.002,0.002,0,0.004,7,0.589,7,0.589,0,0
20190111,UCRP6wPuXh2ZqjKCrANXJZdw,LSxS-jaSAd8,claimed,self,VN,0.001,0.001,0.001,0,0.001,3,0.35,5,0.21,0,0
20190111,UCgBeh1ryYVPOj3F296pZQ8g,i09W3SLQzNI,claimed,self,VN,0.001,0.001,0.001,0,0.001,11,0.091,11,0.091,0,0
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,2nRq0xhfIAE,claimed,self,VN,0.001,0.001,0.001,0,0.001,2,0.519,2,0.519,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,GeO_QMaWHw0,claimed,self,US,0.005,0.005,0.005,0,0.009,2,4.669,3,3.113,0,0
20190111,UC_2Wbh0vaQ6GlTFSVxSG3vw,qqqZDxF4SDs,claimed,self,VN,0.036,0.036,0.036,0,0.066,31,2.128,59,1.118,0,0
20190111,UC1CeYWtAz6CpHIgOC3DXQhw,phBOpwoKHRc,claimed,self,TH,0.006,0.006,0.006,0,0.01,9,1.113,12,0.834,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,pSFWaT8ZpAI,claimed,self,AM,0,0,0,0,0,1,0.343,1,0.343,0,0
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,csmoQ45rGbI,claimed,self,KR,0.003,0.003,0.003,0,0.005,4,1.196,6,0.797,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,zjZO9GoWPLE,claimed,self,AR,0,0,0,0,0,2,0.235,2,0.235,0,0
20190111,UCkBngOIJHGZSIQsrJ-ujIuQ,ruC0TMDRBKE,claimed,self,TH,0.001,0.001,0.001,0,0.001,2,0.587,2,0.587,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,vUEbHImJYZg,claimed,self,PH,0.001,0.001,0.001,0,0.002,6,0.407,6,0.407,0,0
20190111,UCq0mSKeROvWfBZxucSPYC_Q,crR5NSASH3o,claimed,self,VN,0.001,0.001,0.001,0,0.002,9,0.274,8,0.309,0,0
20190111,UCnp291tDquOa2Mz3LxY9Iew,Spqz_EgXZwg,claimed,self,VN,0,0,0,0,0.001,3,0.252,4,0.189,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,CTGypeY_dxY,claimed,self,FR,0,0,0,0,0,3,0.15,4,0.112,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,4NtUlUSXLLw,claimed,self,VN,0.001,0.001,0.001,0,0.001,1,0.933,1,0.933,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,DGQXd-M25Z0,claimed,self,GB,1.384,1.368,1.333,0.035,2.466,938,2.629,985,2.504,0.016,0
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,kZZltffk9yI,claimed,self,VN,0.012,0.012,0.012,0,0.022,5,4.308,6,3.59,0,0
20190111,UCVczlRBeKRQDytypiSW7FvQ,5CBhq54klGs,claimed,self,VN,0.001,0.001,0.001,0,0.001,2,0.553,2,0.553,0,0
20190111,UC1CeYWtAz6CpHIgOC3DXQhw,EHV6SUYiMNM,claimed,self,ID,0.001,0.001,0.001,0,0.001,1,0.918,1,0.918,0,0
20190111,UCiu6Pc8Dix53ijEWSXRHNnQ,KcoKO_6T0RA,claimed,self,UA,0.005,0.005,0.005,0,0.009,7,1.295,9,1.007,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,44Gn_fQc_AU,claimed,self,GH,0,0,0,0,0,1,0.053,1,0.053,0,0
20190111,UCq0mSKeROvWfBZxucSPYC_Q,qzozmGwhJuk,claimed,self,VN,0,0,0,0,0,1,0.294,1,0.294,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,vUEbHImJYZg,claimed,self,AU,0.012,0.012,0,0.012,0.021,3,7.035,3,7.035,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,C-yAU7yp7-w,claimed,self,ZA,0.063,0.063,0.063,0,0.114,43,2.656,44,2.595,0,0
20190111,UCA3FSL2BxktwLHmlWkdmc4A,kl9T5j6pAYc,claimed,self,SE,0.002,0.002,0.002,0,0.004,2,1.988,2,1.988,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,znINvgUA7Fo,claimed,self,SG,0.062,0.062,0.023,0.038,0.112,27,4.154,30,3.738,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,jda6p2tqpek,claimed,self,NO,0.004,0.004,0.004,0,0.008,1,7.919,1,7.919,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,BPP-8hzh7mU,claimed,self,DE,0.005,0.005,0.005,0,0.009,15,0.618,15,0.618,0,0
